gtin14,reason,source_sha256,product_name
00033900616415,piece_rate,c4fb8aef134d9084ca55c1733537283c74649741f8e52104d5f9f1e4ab585230,"Dry Aged, Naturally Smoked Cherrywood Bacon, Raw, 9-11 Slices per lb., Certified Gluten-Free"
00033900616453,piece_rate,483d3a698efe26af10c68575eb3044edf1f3cd772f7cb71462a539f33aeaf044,"Dry Aged, Naturally Smoked Cherrywood Bacon, Raw, 18-22 Slices per lb., Certified Gluten-Free"
00033900616606,piece_rate,f124ac841f05f89d5422a44e2aaadf1ba1c13ea0c3f74e6f4292b18fa6939dba,"Uncured, Dry-Aged, All Natural Cherrywood Smoked Bacon, Grill Ready, 14-18 Slices per lb., Certified Gluten-Free"
00033900616736,piece_rate,78d263d282b26e7cf0b8e4715a2403c6b446771591984573a4017ce1c068579b,"Dry Aged, Naturally Smoked Hickorywood Bacon End to End, Raw, 18-22 Slices per lb., Certified Gluten-Free"
00033900616743,piece_rate,c4fb8aef134d9084ca55c1733537283c74649741f8e52104d5f9f1e4ab585230,"Dry Aged, Naturally Smoked Cherrywood Bacon, Raw, 9-11 Slices per lb., Certified Gluten-Free"
00079618381160,piece_rate,2590d89942473cbe4de991edc675a3d7b59fbbb2a925b57c40cb11aa8142cf75,"Nugget Hardwood Smoked Premium Sugar Cured Bacon, Layered, 16-18 Slices per Pound"
00079621000676,piece_rate,f43a6979d959f89e4b7eb1a8279bf410b9e9469319d6d66c384e2ef3fedf369e,"Wright Brand Naturally Hickory Smoked Thin Sliced Flat-Pack Bacon, 18-22 Slices per Pound"
00079621000706,piece_rate,538e902ac91bc01324c7a0786f8b49be0c8f6c4ccc1e3fd13c09387e523a1aa1,"Wright Brand Naturally Hickory Smoked Regular Sliced Flat-Pack Bacon, 14-18 Slices per Pound"
00079621001185,piece_rate,2c84cec1bf40e8a5e1a7f7577c2f60a3381a38f532cc8b534f97089db20480ad,"Wright Brand Naturally Hickory Smoked Thin Sliced Bacon, Bulk, 18-22 Slices Per Pound"
00079621001222,piece_rate,68463f29ece65a9dea29df7251782a6037df864a3a16020f1bfa09bbee589bfc,"Wright Brand Naturally Hickory Smoked Thin Sliced Bacon, Flat-Pack, 18-22 Slices per Pound, Gas Flushed"
00079621001239,piece_rate,ee401f83edb2b4a2f63276d0dee12a3544f58f6a6017393050e90863e924650f,"Wright Brand Naturally Hickory Smoked Regular Sliced Flat-Pack Bacon, 14-18 Slices per Pound, Gas Flushed"
00079621001444,piece_rate,538e902ac91bc01324c7a0786f8b49be0c8f6c4ccc1e3fd13c09387e523a1aa1,"Wright Brand Naturally Hickory Smoked Regular Sliced Flat-Pack Bacon, 14-18 Slices per Pound"
00079621001550,piece_rate,fe7896aa9a842697920c3d8fdc82f73eacfa317048cb0e25b5920c4390d98a47,"Wright Brand Naturally Hickory Smoked Bacon, Flat-Pack, 18-22 Slices per Pound"
00079621001826,piece_rate,931b2ec2711257b7852b3dd6a85ff0a8b4d62cdbb9f91b4e256a83cf325349d6,"Wright Brand Naturally Hickory Smoked Thick Sliced Bacon, Bulk, 5 Slices/Inch"
00079621002823,piece_rate,74e28de1692065b0c492b50e5fb0b758b5dab4ff48607efd47aef4dd84eeb7c3,"Wright Brand Naturally Hickory Smoked Thin Sliced Bacon, Bulk, 18-22 Slices Per Pound, Gas Flushed"
00079621003004,piece_rate,019d2d58d19535554dc887005ef4f5670b9ba2dbefad9a629a407166abd9265b,"Wright Brand Naturally Applewood Smoked Thin Sliced Bacon, Flat-Pack, 18-22 Slices per Pound, Gas Flushed"
00079621003011,piece_rate,79daf318e9e08b46d9c2f692f25f906e99f699a969f71944ec1c5fd409cb8d1c,"Wright Brand Naturally Applewood Smoked Regular Sliced Bacon, Flat-Pack, 14-18 Slices per Pound, Gas Flushed"
00079621003028,piece_rate,a27320a3a88dfe7ae8f8630fe8aa3602a7bd816d85cf655c5ebfbba38bcbe82c,"Wright Brand Naturally Applewood Smoked Thick Sliced Flat-Pack Bacon, 10-14 Slices per Pound, Gas Flushed"
00079621003035,piece_rate,9051686f46c1ec7df8cd1587ab08b330477da0afd11e292b5f793dddaf1fafba,"Wright Brand Naturally Applewood Smoked Thin Sliced Bacon, Bulk, 18-22 Slices per Pound, Gas Flushed"
00079621003059,piece_rate,800facb0cd8b0993049dfac32962503c95c29bf9c7cac1b282b5fd5158a0d368,"Wright Brand Naturally Applewood Smoked Regular Sliced Bacon, Bulk, 14-18 Slices per Pound, Gas Flushed"
00079621003646,piece_rate,ce944c3fcbeb6a515b32b405b74047ef173442f7219e8c33b99140bccf29786b,"Wright Brand Naturally Hickory Smoked Thick Sliced Bacon, Bulk, 10-14 Slices per Pound, Gas Flushed"
00079621003653,piece_rate,2144d6d4587bf94d1d2afce11d1a4da01c4c929588a862b4aa467cb7fd4b3287,"Wright Brand Naturally Hickory Smoked Thick Sliced Bacon, Bulk, 10-14 Slices per Pound"
00079621003684,piece_rate,3448f2f83f2d9d06de24a9d95ac3dd1dbb1965809f0dfd48941861a9b0cb7c6d,"Wright Brand Naturally Hickory Smoked Thick Sliced Bacon, Bulk, 5 Slices/Inch"
00079621003691,piece_rate,001fc75aa32535d17c93b91a2ea9003eb396cbf8cfd7ddaad3b339295e8f4fe0,"Wright Brand Naturally Hickory Smoked Thick Sliced Bacon, Bulk, 10-14 Slices per Pound"
00079621003707,piece_rate,cdc5a0d8f4d54525fa677149b0ac0aa7fb05e42474a40293e973480c3466e074,"Wright Brand Naturally Hickory Smoked Regular Sliced Bacon, Bulk, 14-18 Slices per Pound"
00079621003721,piece_rate,ce944c3fcbeb6a515b32b405b74047ef173442f7219e8c33b99140bccf29786b,"Wright Brand Naturally Hickory Smoked Thick Sliced Bacon, Bulk, 10-14 Slices per Pound, Gas Flushed"
00079621003738,piece_rate,f8f443f96b14e496911ec94d07aa7b28c860437102e09a9c1c61b648dc5250cb,"Wright Brand Naturally Hickory Smoked Regular Sliced Bacon, Flat-Pack, 14-18 Slices per Pound, Gas Flushed"
00079621003745,piece_rate,7e6121518ba030505070de15afe0a608469fe2f106bebfe04b73b5ffd994e577,"Wright Brand Naturally Hickory Smoked Thick Sliced Bacon, Flat-Pack, 10-14 Slices per Pound, Gas Flushed"
00079621003752,piece_rate,5d1d15bdda6ee42922227c74b1780683c164f721ef3cb21afe54a5c2478c8538,"Wright Brand Naturally Applewood Smoked Thick Sliced Bacon, Flat-Pack, 10-14 Slices per Pound"
00079621003769,piece_rate,ed4dfad02bb560ca850c6ab89d78e2f43cd804656b7302cf6fec0c52fe67c3de,"Wright Brand Naturally Applewood Smoked Thick Sliced Bacon, Flat-Pack, 10-14 Slices Per Pound, Gas Flushed"
